Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Classification
i8,2019,Europe,White,Hybrid,Manual,2.1,26045,65053,Low
M5,2018,Asia,White,Petrol,Automatic,4.1,151366,41554,Low
X6,2010,Asia,Red,Petrol,Manual,3.5,14378,75090,Low
M3,2022,North America,Blue,Hybrid,Automatic,3.1,147073,101600,Low
X6,2012,Middle East,Silver,Petrol,Automatic,4.9,118164,98797,High
M3,2012,Asia,Black,Electric,Automatic,4.5,168509,63984,Low
7 Series,2020,North America,White,Electric,Automatic,3.9,135171,94897,Low
X3,2015,Africa,White,Hybrid,Automatic,2.8,124825,84017,Low
X1,2017,Africa,Red,Petrol,Manual,3.8,62164,85610,Low
3 Series,2012,North America,Blue,Diesel,Automatic,3.4,196362,66905,Low
i8,2012,Africa,White,Diesel,Automatic,2.4,192506,100370,High
i8,2015,Europe,White,Diesel,Automatic,3.1,46330,102863,Low
i3,2017,Middle East,Red,Diesel,Manual,2.2,45131,69567,Low
i8,2015,Asia,Red,Petrol,Manual,3.3,88105,51808,Low
i3,2022,North America,Black,Electric,Manual,4.0,155979,82916,High
i3,2021,Asia,Red,Diesel,Automatic,1.6,60315,43305,Low
M3,2023,Europe,Grey,Petrol,Manual,4.2,16382,59732,Low
i8,2019,Europe,Grey,Electric,Automatic,1.6,91441,55012,Low
5 Series,2012,North America,Silver,Electric,Automatic,3.3,104108,72418,Low
M5,2013,North America,White,Electric,Automatic,3.5,49640,82811,Low
X3,2010,South America,Black,Hybrid,Automatic,4.2,51579,50183,Low
i8,2022,South America,Black,Electric,Automatic,4.2,187164,52657,Low
X3,2017,North America,White,Petrol,Manual,3.0,138535,94833,Low
X5,2013,Middle East,Blue,Electric,Automatic,1.7,100425,86590,Low
M5,2015,Africa,Blue,Electric,Automatic,3.9,157810,74265,High
X5,2020,Asia,Grey,Petrol,Manual,3.3,143156,48917,Low
X6,2012,North America,White,Diesel,Automatic,2.7,168986,45474,Low
X5,2020,North America,Grey,Electric,Automatic,2.3,8928,110724,Low
X5,2021,Asia,Black,Diesel,Manual,1.9,129461,51958,High
5 Series,2020,Africa,Red,Diesel,Manual,2.5,29155,57899,Low
X6,2015,Europe,Silver,Petrol,Manual,3.1,65744,88322,High
M5,2021,North America,Silver,Electric,Automatic,3.2,186303,36743,Low
7 Series,2020,Europe,Blue,Petrol,Automatic,3.5,103850,62178,High
i3,2018,Asia,White,Petrol,Automatic,2.8,181354,39979,Low
X5,2018,Middle East,White,Diesel,Automatic,4.7,115130,95362,Low
i8,2019,Middle East,Blue,Hybrid,Automatic,3.2,199163,79412,High
X5,2012,North America,Black,Petrol,Manual,3.0,92217,41224,Low
X6,2012,Middle East,Grey,Diesel,Automatic,1.7,192366,110130,Low
X5,2013,Asia,Black,Diesel,Automatic,3.6,55917,73609,Low
M3,2021,Asia,Grey,Electric,Manual,3.6,97671,83386,Low
M3,2016,Middle East,Black,Hybrid,Automatic,3.5,135493,84026,Low
7 Series,2012,South America,Blue,Diesel,Automatic,4.6,34491,75574,Low
X3,2019,North America,Silver,Electric,Manual,4.2,110183,50334,Low
i3,2017,South America,Blue,Diesel,Manual,4.5,73343,82547,Low
M5,2020,Asia,White,Hybrid,Manual,1.7,77791,103505,High
X3,2017,Asia,Blue,Petrol,Manual,2.6,191813,112569,Low
X3,2015,Africa,Silver,Hybrid,Automatic,2.6,193745,91894,High
M5,2013,North America,White,Petrol,Manual,3.8,93989,78802,High
i3,2020,North America,Silver,Electric,Automatic,3.1,56581,75821,Low
M3,2021,Asia,Silver,Diesel,Manual,4.2,173513,105022,Low
X3,2020,South America,Black,Hybrid,Automatic,2.8,122252,74555,Low
5 Series,2014,Middle East,Silver,Hybrid,Automatic,2.3,176870,51694,Low
M5,2021,Africa,Red,Petrol,Manual,2.5,169677,96539,High
X5,2011,Asia,White,Petrol,Automatic,2.1,108512,86140,High
i3,2022,Middle East,Blue,Diesel,Manual,2.2,9119,53850,Low
X6,2015,South America,White,Diesel,Automatic,2.3,52816,116727,Low
X6,2012,North America,Blue,Petrol,Manual,1.6,136016,105494,High
5 Series,2024,South America,Blue,Hybrid,Automatic,4.0,52260,86148,High
i3,2015,North America,Red,Hybrid,Manual,2.9,119282,54266,Low
7 Series,2021,Asia,Red,Hybrid,Automatic,1.6,11904,54863,High
M3,2014,Middle East,Red,Diesel,Manual,2.8,43062,112697,Low
3 Series,2023,Africa,White,Electric,Automatic,4.7,193363,55506,Low
X5,2011,Asia,White,Hybrid,Automatic,3.3,59112,118438,Low
X5,2024,Asia,White,Petrol,Automatic,5.0,123367,80143,Low
7 Series,2021,Asia,White,Petrol,Automatic,3.4,36106,41907,Low
3 Series,2022,Asia,Grey,Diesel,Automatic,4.9,48856,101289,Low
3 Series,2023,Europe,Silver,Hybrid,Manual,2.2,173979,119562,Low
5 Series,2014,Middle East,Black,Electric,Manual,2.5,114129,86819,Low
M5,2014,South America,Black,Diesel,Automatic,3.9,177204,102486,Low
M3,2023,Asia,Silver,Hybrid,Automatic,5.0,74415,46554,Low
X1,2018,Europe,Silver,Electric,Automatic,4.4,132121,102721,Low
X3,2020,South America,Grey,Diesel,Manual,3.4,72062,119119,Low
X3,2017,Middle East,Red,Electric,Automatic,1.8,184888,78836,Low
M5,2021,Asia,Grey,Diesel,Automatic,2.8,82513,88357,Low
3 Series,2021,South America,Grey,Petrol,Manual,1.8,114401,41931,Low
X6,2016,South America,Grey,Petrol,Manual,2.6,78420,37462,Low
X5,2024,Africa,Red,Electric,Manual,2.4,94399,84092,High
7 Series,2024,Africa,Grey,Diesel,Manual,2.9,48424,112645,Low
i8,2021,South America,White,Petrol,Automatic,4.4,3880,72138,High
5 Series,2022,Middle East,Blue,Hybrid,Automatic,2.0,166009,72248,High
i8,2024,South America,Blue,Electric,Automatic,2.6,121947,40714,Low
M3,2023,Europe,White,Hybrid,Automatic,2.4,161144,58466,High
7 Series,2012,Africa,Blue,Diesel,Automatic,2.5,95915,93440,Low
3 Series,2019,Asia,Black,Hybrid,Automatic,2.8,68944,100283,Low
5 Series,2013,South America,White,Electric,Manual,2.4,17480,50235,Low
i8,2015,Asia,Black,Petrol,Manual,4.8,14890,50066,High
i8,2012,Europe,Blue,Diesel,Automatic,3.0,85654,79783,Low
X1,2020,Middle East,White,Electric,Manual,1.9,35288,32523,Low
M3,2018,Africa,Black,Diesel,Automatic,3.1,112042,93130,Low
M3,2017,South America,White,Hybrid,Automatic,2.1,119897,40026,High
i3,2015,Europe,Red,Electric,Manual,2.3,2036,55913,High
X6,2013,North America,Black,Petrol,Automatic,2.5,52501,53783,Low
M5,2016,Asia,White,Diesel,Automatic,1.9,199152,67381,High
X3,2022,Asia,White,Diesel,Automatic,4.0,74304,91406,High
i8,2024,Asia,Blue,Electric,Manual,4.3,198886,33828,High
i3,2020,North America,Red,Diesel,Manual,2.9,153180,92592,High
7 Series,2012,Africa,Grey,Petrol,Manual,3.9,77618,91460,Low
M3,2019,Europe,White,Diesel,Manual,2.9,138030,115707,Low
M5,2024,Africa,White,Electric,Automatic,2.1,107117,51003,Low
i8,2017,North America,Black,Diesel,Manual,2.9,10896,118439,Low
3 Series,2010,Europe,Silver,Hybrid,Automatic,3.4,122854,105949,Low
M3,2012,Europe,Grey,Electric,Manual,1.6,79322,62725,Low
5 Series,2020,Asia,Grey,Diesel,Manual,3.8,89915,30178,Low
X1,2014,South America,White,Diesel,Automatic,4.1,197220,73855,Low
i8,2014,South America,Silver,Electric,Manual,4.5,89836,87803,Low
X3,2019,South America,Silver,Hybrid,Automatic,1.9,171663,55485,Low
X3,2023,Asia,Red,Diesel,Manual,1.5,84800,81457,Low
7 Series,2011,South America,White,Diesel,Manual,1.8,88695,83404,Low
X1,2019,North America,Red,Hybrid,Automatic,4.7,41870,116844,Low
X1,2017,Africa,Grey,Diesel,Manual,4.2,123333,110981,Low
X5,2014,Middle East,Black,Petrol,Automatic,4.4,115103,83188,Low
3 Series,2016,Europe,White,Diesel,Automatic,3.3,76580,98523,Low
M5,2024,South America,Red,Electric,Manual,3.3,106575,52065,Low
X6,2016,North America,Grey,Diesel,Automatic,2.5,136069,88678,High
X3,2023,Africa,Grey,Hybrid,Automatic,4.4,160511,86787,High
X6,2014,North America,Blue,Hybrid,Manual,4.4,76407,64680,Low
X3,2017,Middle East,Silver,Petrol,Manual,2.9,126456,54032,Low
5 Series,2018,Middle East,White,Electric,Automatic,2.7,33802,113524,Low
3 Series,2013,Middle East,Grey,Electric,Automatic,4.1,100042,101613,Low
M5,2013,Asia,White,Electric,Manual,1.6,195096,114742,Low
3 Series,2017,Asia,Silver,Petrol,Automatic,4.5,36298,44546,Low
X3,2010,North America,Black,Diesel,Manual,3.1,65216,35832,Low
5 Series,2024,Africa,Red,Diesel,Automatic,3.0,100425,70912,High
3 Series,2013,Middle East,Red,Hybrid,Manual,3.8,88453,117718,Low
M3,2015,Africa,Silver,Hybrid,Automatic,3.8,50462,100024,Low
X3,2022,Middle East,Red,Electric,Manual,2.4,169999,114275,High
3 Series,2013,Middle East,Grey,Petrol,Automatic,4.8,101932,90879,High
7 Series,2015,Middle East,Silver,Electric,Automatic,5.0,1034,101506,Low
i8,2014,Asia,Red,Hybrid,Manual,3.3,193540,73630,Low
i3,2023,Europe,Black,Hybrid,Automatic,3.5,199819,44029,Low
3 Series,2018,Asia,Black,Diesel,Automatic,3.4,159949,118547,Low
5 Series,2019,Africa,Black,Petrol,Automatic,3.2,139657,59560,Low
M5,2018,North America,Black,Diesel,Automatic,4.8,45058,58610,Low
7 Series,2013,South America,Red,Electric,Automatic,2.4,339,53705,High
3 Series,2022,Africa,Silver,Diesel,Manual,1.9,145241,113054,High
i8,2023,Europe,White,Electric,Manual,4.8,158488,51258,Low
i8,2013,Africa,Black,Electric,Manual,2.2,66301,110554,Low
X1,2021,Asia,Red,Diesel,Automatic,4.1,61714,75851,Low
7 Series,2017,North America,Silver,Hybrid,Manual,2.2,170350,114519,High
X6,2019,North America,Red,Electric,Automatic,4.9,87739,97306,Low
X6,2024,South America,Black,Electric,Manual,4.3,173492,45734,High
X6,2013,Africa,Black,Petrol,Manual,4.7,59061,96570,High
M5,2011,North America,Silver,Petrol,Manual,4.8,137975,77883,Low
7 Series,2022,Europe,Red,Diesel,Automatic,1.8,84073,51929,Low
X6,2022,Middle East,Silver,Hybrid,Manual,3.0,181829,57979,Low
i3,2023,South America,Grey,Petrol,Automatic,3.8,149237,107856,Low
X5,2024,Asia,Blue,Electric,Automatic,4.3,163744,68164,Low
i8,2011,Europe,Red,Electric,Automatic,2.3,159945,100685,High
X6,2010,North America,Silver,Hybrid,Automatic,4.7,80666,65401,Low
M5,2014,North America,Red,Electric,Automatic,2.3,68437,85808,Low
M5,2024,North America,Black,Electric,Automatic,4.5,46224,119414,Low
M5,2015,Europe,White,Diesel,Automatic,3.3,177628,67216,High
5 Series,2018,Europe,Blue,Diesel,Automatic,3.3,170305,95728,Low
7 Series,2014,South America,White,Electric,Manual,2.8,173207,113678,Low
X5,2022,South America,Black,Hybrid,Manual,1.9,121751,77151,Low
i3,2015,Europe,Black,Hybrid,Manual,2.7,45345,86736,Low
X6,2015,Asia,Blue,Hybrid,Manual,3.0,80027,46130,Low
5 Series,2012,South America,White,Diesel,Manual,3.2,23950,118769,Low
7 Series,2021,South America,Grey,Electric,Manual,4.1,199026,89495,Low
X6,2013,Asia,Grey,Hybrid,Manual,2.7,153909,47111,Low
X3,2010,South America,Silver,Diesel,Automatic,2.9,86360,61432,High
X6,2013,South America,Black,Hybrid,Manual,4.7,24390,95163,Low
M5,2010,Europe,Black,Hybrid,Manual,4.1,34792,87626,Low
i3,2024,South America,Silver,Electric,Automatic,1.6,128828,61556,High
X5,2014,South America,Red,Hybrid,Manual,4.3,193414,59346,Low
X6,2020,Africa,Silver,Electric,Manual,5.0,37551,52169,Low
X1,2020,South America,White,Petrol,Automatic,4.8,129916,59129,Low
i8,2017,Africa,Grey,Diesel,Automatic,4.4,160501,106802,Low
7 Series,2017,Africa,Grey,Diesel,Automatic,3.7,113955,57084,Low
X5,2014,North America,Black,Electric,Manual,2.5,125607,68869,Low
5 Series,2023,Asia,Blue,Petrol,Automatic,3.8,120827,107460,Low
M5,2019,South America,Red,Electric,Manual,3.9,111861,110545,High
i8,2011,Africa,Grey,Electric,Manual,2.5,44201,71013,Low
X6,2021,Africa,Black,Hybrid,Automatic,2.4,190260,89161,Low
3 Series,2015,Asia,Red,Petrol,Automatic,2.9,138604,98105,Low
M5,2010,South America,Grey,Hybrid,Manual,3.7,157973,41627,High
3 Series,2016,North America,Blue,Electric,Manual,2.5,169675,31171,Low
M5,2020,Middle East,Black,Electric,Automatic,3.4,58332,52198,High
i8,2013,Europe,Silver,Electric,Automatic,4.6,87253,116008,Low
i8,2014,North America,Black,Electric,Manual,2.5,43185,101632,Low
i3,2015,North America,Blue,Diesel,Automatic,4.9,15650,76935,High
i3,2020,South America,Red,Hybrid,Manual,3.2,55961,50448,Low
5 Series,2010,Asia,Black,Petrol,Automatic,1.9,17544,40575,High
7 Series,2018,Europe,Red,Petrol,Automatic,1.7,65351,57694,Low
i8,2019,South America,Silver,Diesel,Manual,2.7,38119,73236,Low
M5,2013,Europe,White,Diesel,Manual,2.4,123712,111584,Low
3 Series,2017,North America,White,Diesel,Automatic,4.5,98779,63633,Low
X5,2014,Europe,Black,Petrol,Automatic,4.1,190328,77722,Low
i8,2020,Africa,Black,Electric,Manual,4.6,161325,85869,Low
7 Series,2017,Europe,Blue,Electric,Manual,3.6,41550,110007,Low
5 Series,2024,Middle East,Blue,Electric,Automatic,3.0,95617,34236,Low
X5,2010,South America,Blue,Petrol,Manual,2.4,125622,71004,Low
X1,2017,Europe,Grey,Electric,Automatic,3.5,156341,103001,Low
3 Series,2020,Asia,Black,Petrol,Automatic,3.7,80525,56907,Low
3 Series,2022,North America,Silver,Electric,Automatic,2.9,169004,60524,High
i3,2020,North America,Red,Diesel,Manual,4.8,120815,70102,Low
i8,2013,Africa,Silver,Petrol,Automatic,3.7,18472,42787,Low
7 Series,2011,South America,Silver,Hybrid,Automatic,4.4,166602,66005,Low
7 Series,2020,Africa,Blue,Electric,Automatic,3.7,62465,53561,High
i8,2015,Middle East,Silver,Petrol,Automatic,2.6,37765,68479,Low
7 Series,2011,South America,Blue,Diesel,Automatic,4.1,11994,57955,Low
i8,2014,North America,Red,Diesel,Automatic,2.3,101125,44813,Low
M3,2011,Middle East,White,Diesel,Automatic,3.6,75495,115004,Low
i8,2012,North America,White,Petrol,Manual,2.9,116205,40856,Low
M3,2020,Asia,Grey,Diesel,Manual,2.0,90321,39142,Low
X3,2015,South America,Blue,Diesel,Manual,2.9,71992,117301,Low
X1,2010,North America,Grey,Petrol,Manual,2.6,107291,90052,Low
i8,2015,Africa,Red,Petrol,Automatic,1.9,110805,39471,High
3 Series,2012,Europe,Grey,Hybrid,Manual,4.4,83441,30276,Low
i3,2016,South America,White,Electric,Automatic,3.2,136399,38603,Low
M5,2011,North America,Black,Diesel,Automatic,2.7,135944,102007,High
i8,2023,Europe,Black,Petrol,Manual,3.3,60706,110740,High
M3,2015,Middle East,Blue,Hybrid,Automatic,4.1,63998,36590,High
X5,2017,South America,Blue,Electric,Automatic,1.6,171005,75137,High
X1,2024,Asia,White,Petrol,Manual,3.4,51715,52547,High
i8,2024,South America,Blue,Petrol,Automatic,3.2,124718,70139,Low
M5,2024,Europe,Black,Diesel,Automatic,4.6,7500,104372,Low
X5,2010,South America,Blue,Electric,Manual,3.4,193189,51142,Low
X5,2020,Middle East,Grey,Petrol,Automatic,2.0,74254,44035,Low
X5,2020,Africa,Blue,Diesel,Manual,2.9,172578,69048,High
M3,2022,Europe,Red,Petrol,Manual,3.7,33113,47750,Low
i8,2018,Europe,White,Diesel,Automatic,1.7,155702,92079,Low
7 Series,2014,Asia,Blue,Hybrid,Manual,4.6,68207,69944,Low
X6,2014,Asia,Red,Electric,Manual,1.7,78887,73111,Low
i8,2022,Asia,Silver,Diesel,Automatic,1.6,132420,98019,Low
5 Series,2021,Africa,Blue,Hybrid,Manual,1.5,152452,63692,High
i3,2014,Middle East,Red,Diesel,Manual,3.9,188946,105866,Low
3 Series,2015,Africa,Grey,Hybrid,Automatic,3.1,41075,47424,High
X6,2011,South America,Black,Electric,Manual,1.9,5730,101043,High
X1,2015,Africa,White,Petrol,Manual,4.5,11068,47602,Low
X5,2023,North America,White,Petrol,Automatic,2.2,116727,68266,Low
X1,2020,Europe,Grey,Diesel,Automatic,2.6,154034,98332,Low
7 Series,2013,Middle East,White,Hybrid,Manual,2.1,156705,69213,Low
i3,2017,Africa,Red,Hybrid,Manual,4.7,91429,62274,Low
5 Series,2022,Asia,Red,Hybrid,Manual,4.2,137431,48176,Low
X6,2020,Middle East,Black,Hybrid,Automatic,4.0,77355,75794,High
X6,2018,Middle East,Grey,Petrol,Manual,1.7,35022,44590,Low
i8,2018,Asia,Black,Electric,Manual,3.3,23831,86235,Low
X5,2017,South America,Red,Diesel,Manual,3.5,9183,76834,Low
M5,2012,Africa,Blue,Hybrid,Manual,2.8,85055,100911,Low
5 Series,2019,Middle East,White,Petrol,Automatic,2.6,73573,119118,High
M3,2020,Africa,Silver,Electric,Automatic,4.5,27051,113209,Low
i3,2020,Africa,Grey,Petrol,Manual,1.6,138398,60793,Low
i8,2013,Africa,Black,Electric,Automatic,3.7,3045,99713,Low
X5,2010,Middle East,Red,Petrol,Manual,2.9,168068,53733,High
M3,2018,Middle East,Grey,Electric,Manual,3.8,40035,97174,Low
M5,2014,Middle East,Silver,Petrol,Manual,2.2,199409,111331,Low
5 Series,2015,Asia,Blue,Hybrid,Automatic,2.3,32029,54889,Low
i8,2012,Africa,Silver,Petrol,Automatic,3.6,51405,91380,High
X1,2020,North America,Red,Diesel,Manual,4.9,167550,90601,High
5 Series,2019,Asia,Black,Petrol,Automatic,4.9,138996,114131,High
i3,2017,Europe,Blue,Hybrid,Automatic,2.4,101176,82493,Low
X1,2024,North America,Silver,Diesel,Manual,1.9,138483,60432,Low
5 Series,2016,Europe,White,Petrol,Manual,3.6,124544,60428,Low
5 Series,2010,Asia,White,Diesel,Manual,3.0,111977,72066,Low
7 Series,2019,Asia,Red,Diesel,Manual,4.2,163392,30201,Low
M3,2021,North America,Black,Diesel,Manual,3.3,197545,73606,High
X5,2014,North America,Red,Petrol,Automatic,3.3,126884,103640,Low
7 Series,2019,Africa,Silver,Diesel,Automatic,3.8,65290,97719,Low
X1,2018,North America,White,Electric,Automatic,1.9,104422,73223,Low
X1,2021,North America,Black,Hybrid,Automatic,3.9,148102,62325,Low
X1,2020,South America,Grey,Electric,Manual,3.2,80148,40143,Low
X3,2021,Asia,Black,Diesel,Manual,4.4,137128,47450,High
i8,2015,North America,Black,Petrol,Automatic,2.0,58980,98253,High
M5,2017,Middle East,Grey,Diesel,Manual,2.6,152032,52702,Low
X1,2019,Africa,Blue,Diesel,Manual,4.8,52788,54825,Low
i8,2010,Europe,Silver,Electric,Automatic,3.4,31546,117433,Low
M3,2019,Africa,Black,Diesel,Automatic,4.8,34526,115969,Low
i3,2020,Europe,Grey,Electric,Automatic,3.9,84027,112508,High
X3,2016,Asia,Blue,Electric,Automatic,4.7,117298,60096,Low
M3,2012,North America,Grey,Electric,Manual,2.6,177762,111743,Low
X5,2018,Africa,White,Electric,Manual,1.8,33949,105604,Low
7 Series,2015,Middle East,White,Petrol,Manual,4.3,57540,84095,High
5 Series,2014,South America,White,Hybrid,Automatic,4.3,63868,104642,High
i8,2017,Middle East,White,Petrol,Manual,3.7,46743,54456,High
X6,2017,Africa,Silver,Hybrid,Manual,3.5,70552,99311,Low
M3,2021,Africa,Grey,Electric,Manual,4.7,83913,34794,Low
7 Series,2021,Europe,Grey,Hybrid,Manual,2.1,163123,118773,Low
5 Series,2012,Asia,Grey,Hybrid,Automatic,3.7,104848,53727,Low
M3,2011,South America,Red,Diesel,Automatic,1.7,53467,50433,High
7 Series,2024,Europe,Blue,Electric,Automatic,2.0,80598,109456,Low
X6,2011,Middle East,Silver,Electric,Automatic,3.0,55792,32692,Low
X6,2023,South America,White,Electric,Manual,4.4,28498,44325,Low
M3,2014,Middle East,White,Diesel,Automatic,4.1,179483,30062,Low
5 Series,2019,Europe,Black,Diesel,Automatic,4.9,14054,51275,Low
5 Series,2021,Middle East,Blue,Petrol,Automatic,1.7,10387,80474,Low
7 Series,2016,Middle East,Grey,Diesel,Automatic,2.8,105484,108343,Low
M3,2017,Europe,Grey,Electric,Manual,2.1,120907,87761,Low
X5,2019,Africa,Grey,Electric,Manual,1.6,62380,109596,High
X3,2024,Middle East,Grey,Electric,Manual,2.4,88718,117464,High
M5,2017,Europe,Grey,Petrol,Automatic,2.4,189625,73187,Low
i3,2022,Middle East,White,Hybrid,Manual,3.0,29635,70176,Low
i3,2021,Asia,Grey,Hybrid,Manual,2.0,51872,83660,Low
5 Series,2017,Africa,Black,Petrol,Automatic,3.2,2339,56777,Low
X1,2024,Asia,Grey,Diesel,Manual,4.7,157019,95372,High
3 Series,2019,South America,Silver,Electric,Manual,4.1,177848,40570,Low
M3,2021,Africa,Silver,Petrol,Automatic,4.4,146155,107020,Low
i8,2020,North America,Silver,Electric,Automatic,4.3,73620,119745,Low
X1,2012,Middle East,Red,Petrol,Automatic,2.9,176821,82262,Low
X3,2023,Middle East,Red,Petrol,Manual,4.0,166008,104215,High
5 Series,2020,South America,Blue,Electric,Automatic,4.1,87682,64600,High
5 Series,2011,South America,Grey,Hybrid,Manual,2.2,102299,103193,Low
X3,2022,North America,Silver,Hybrid,Manual,4.5,55973,63786,Low
5 Series,2013,Middle East,Silver,Petrol,Manual,3.1,77999,81385,High
X6,2024,Middle East,Blue,Diesel,Automatic,1.6,113547,99343,High
3 Series,2010,North America,Silver,Hybrid,Automatic,3.8,118494,117074,Low
i8,2012,South America,Blue,Hybrid,Automatic,3.9,79724,78818,High
X1,2020,Middle East,White,Diesel,Manual,3.4,127528,60564,High
M3,2018,Middle East,Blue,Hybrid,Automatic,2.2,117047,32524,Low
7 Series,2016,North America,Blue,Hybrid,Automatic,3.2,124310,119326,Low
X6,2016,South America,Blue,Petrol,Automatic,2.9,101187,66782,Low
i8,2010,Europe,Black,Petrol,Manual,4.9,2742,111708,High
i8,2016,Africa,Grey,Diesel,Manual,4.4,23354,71191,Low
3 Series,2019,South America,Silver,Electric,Manual,4.2,96533,45701,High
X5,2016,Europe,Grey,Diesel,Manual,2.1,159672,30366,Low
X1,2013,South America,Black,Petrol,Manual,2.7,35019,107761,High
7 Series,2016,Africa,Black,Hybrid,Manual,2.8,128356,101999,Low
i3,2017,North America,Black,Hybrid,Automatic,3.2,82044,95067,Low
M3,2012,Africa,Blue,Hybrid,Manual,1.6,149948,117793,Low
M5,2022,Asia,Grey,Electric,Automatic,3.6,151477,106719,Low
5 Series,2019,Asia,Red,Diesel,Manual,2.8,142458,101880,Low
X3,2011,North America,White,Hybrid,Manual,3.5,58461,87382,Low
i3,2016,Asia,Blue,Petrol,Automatic,1.5,140030,105712,Low
3 Series,2014,North America,Black,Hybrid,Automatic,2.6,11940,81108,Low
7 Series,2014,Europe,Red,Diesel,Manual,4.2,49749,70720,Low
3 Series,2023,North America,Silver,Diesel,Automatic,3.3,63102,87095,Low
X6,2014,Asia,White,Hybrid,Manual,4.3,190510,48221,High
M5,2024,South America,Black,Electric,Manual,3.9,64002,105370,Low
3 Series,2016,South America,Black,Petrol,Manual,4.5,13139,72819,Low
X6,2018,North America,Silver,Hybrid,Manual,1.5,95771,68726,Low
5 Series,2020,Europe,Grey,Hybrid,Manual,2.4,73517,56547,Low
X3,2017,Asia,Blue,Petrol,Manual,3.4,59937,95270,Low
7 Series,2015,South America,Grey,Diesel,Manual,4.8,26989,112310,Low
3 Series,2016,North America,Silver,Electric,Manual,3.9,113706,44449,High
X5,2018,Africa,White,Petrol,Automatic,3.1,104971,31598,Low
i3,2023,Middle East,Black,Petrol,Manual,2.0,137505,79666,Low
X5,2020,South America,White,Diesel,Automatic,3.2,108909,71929,Low
X5,2015,Africa,Blue,Hybrid,Automatic,3.0,61652,100574,Low
X6,2010,South America,Silver,Diesel,Manual,4.2,130788,35132,High
3 Series,2013,Middle East,Black,Petrol,Manual,2.9,112895,52622,Low
X3,2017,Africa,Red,Hybrid,Manual,2.6,10913,72696,High
X5,2016,Middle East,Silver,Electric,Manual,1.8,139053,57282,Low
3 Series,2012,Africa,White,Hybrid,Automatic,1.7,108238,80593,Low
M3,2019,Middle East,Grey,Electric,Manual,3.0,115485,108563,Low
i3,2012,Asia,White,Hybrid,Manual,2.7,121085,72769,Low
7 Series,2020,Africa,Grey,Electric,Automatic,3.4,157896,88688,High
X3,2012,Middle East,Red,Diesel,Manual,4.0,113360,82863,Low
X5,2021,Middle East,Blue,Petrol,Manual,1.6,94675,87135,Low
3 Series,2024,North America,Red,Hybrid,Manual,3.2,90113,80059,High
X3,2010,Middle East,Black,Petrol,Manual,4.5,129590,90741,Low
M5,2024,Europe,Black,Petrol,Automatic,3.1,16751,89282,Low
X6,2019,Asia,Grey,Petrol,Automatic,3.3,117313,99017,High
M5,2010,Africa,Blue,Hybrid,Manual,3.2,149625,85333,Low
X1,2015,Asia,Blue,Electric,Automatic,2.9,104564,66048,Low
X5,2023,South America,Silver,Petrol,Manual,1.9,130527,74811,Low
M5,2023,North America,Silver,Hybrid,Automatic,1.9,104364,52695,Low
i8,2010,Middle East,Silver,Hybrid,Automatic,2.1,161816,30645,Low
M5,2014,Africa,Blue,Electric,Automatic,4.3,189741,82923,Low
M5,2013,Africa,Red,Diesel,Manual,2.5,160083,95276,Low
7 Series,2014,North America,Red,Electric,Automatic,4.8,7738,86687,Low
M3,2016,Africa,Grey,Electric,Automatic,4.3,133568,86830,Low
5 Series,2015,Africa,Silver,Diesel,Manual,3.9,164823,71622,Low
i3,2021,Europe,White,Electric,Automatic,4.0,46167,80144,High
7 Series,2018,Asia,Blue,Electric,Manual,1.7,194125,82424,Low
5 Series,2015,Europe,Silver,Diesel,Manual,3.5,92393,63945,High
X6,2018,South America,Grey,Diesel,Automatic,4.8,186377,55680,Low
i3,2013,Africa,Black,Hybrid,Manual,1.6,41652,44444,Low
X3,2010,Europe,Silver,Hybrid,Manual,2.5,83677,59469,High
X6,2010,Europe,Blue,Petrol,Automatic,1.7,165024,40212,High
5 Series,2019,North America,White,Electric,Manual,3.5,22225,111373,High
i3,2016,North America,Grey,Electric,Manual,1.9,58717,49437,Low
M5,2022,North America,White,Petrol,Automatic,3.2,96655,32931,Low
M5,2022,Asia,Blue,Petrol,Automatic,4.0,172755,61803,Low
5 Series,2022,North America,Silver,Electric,Manual,2.1,181229,69887,High
7 Series,2012,South America,Silver,Diesel,Automatic,4.1,37026,54946,Low
3 Series,2011,North America,Blue,Hybrid,Automatic,1.7,49915,114500,High
i3,2023,Europe,White,Diesel,Manual,2.0,156232,97857,Low
X5,2015,Europe,Silver,Hybrid,Manual,2.5,58334,73802,Low
7 Series,2015,South America,Red,Electric,Manual,4.3,24951,78460,Low
X1,2022,Asia,Red,Petrol,Manual,4.5,105834,77001,Low
7 Series,2016,Europe,Silver,Hybrid,Automatic,2.3,192422,32131,Low
M3,2014,South America,Black,Diesel,Manual,1.8,150285,59188,Low
5 Series,2017,Middle East,White,Electric,Automatic,4.5,15415,116796,High
7 Series,2016,Asia,Silver,Petrol,Automatic,3.8,128938,31597,High
i8,2011,Middle East,Silver,Diesel,Automatic,2.1,147619,45161,High
3 Series,2024,Africa,Blue,Diesel,Automatic,3.5,163782,77015,High
X6,2010,North America,Silver,Hybrid,Manual,4.6,198239,38751,High
3 Series,2022,Asia,Black,Electric,Manual,1.7,69363,101336,Low
